Feature1,Target
0.0,0.2849257019381226
0.10101010101010101,0.4733501833122221
0.20202020202020202,-0.2867828543470584
0.30303030303030304,0.32732812214949547
0.40404040404040403,0.3953141630399122
0.5050505050505051,0.9913547958133528
0.6060606060606061,0.1948050379148829
0.7070707070707071,0.5894501826681084
0.8080808080808081,1.1384732695000563
0.9090909090909091,0.5880608585520193
1.0101010101010102,0.6885164150934879
1.1111111111111112,1.2003647010956615
1.2121212121212122,1.5547470787615243
1.3131313131313131,1.0396269136636844
1.4141414141414141,1.0720543468473052
1.5151515151515151,1.6917302628791413
1.6161616161616161,1.2461853900997313
1.7171717171717171,1.6028142486585786
1.8181818181818181,2.0715605365111545
1.9191919191919191,2.027162392077145
2.0202020202020203,1.6860171363069978
2.121212121212121,1.7052321790292555
2.2222222222222223,2.5591050665970676
2.323232323232323,2.5848144353854896
2.4242424242424243,2.5270404798445236
2.525252525252525,2.496370250094537
2.6262626262626263,2.794736260638448
2.727272727272727,2.903301457741067
2.8282828282828283,2.531647380683147
2.929292929292929,3.080441576823866
3.0303030303030303,2.5704465641960623
3.131313131313131,3.2065334302901602
3.2323232323232323,2.8233611387935094
3.3333333333333335,3.764803730234167
3.4343434343434343,3.7889468006510896
3.5353535353535355,3.9896207151906165
3.6363636363636362,3.906986621490314
3.7373737373737375,3.6923370080135296
3.8383838383838382,4.088639403544696
3.9393939393939394,3.54897511633589
4.040404040404041,4.4425354986606465
4.141414141414141,4.169177340514411
4.242424242424242,4.232728949147221
4.343434343434343,4.623434677033972
4.444444444444445,3.9481604183222743
4.545454545454545,4.182108465073562
4.646464646464646,4.951516506264984
4.747474747474747,4.903539848863445
4.848484848484849,5.017000124924737
4.94949494949495,5.44892237693489
5.05050505050505,5.514066822540739
5.151515151515151,5.277513047448402
5.252525252525253,4.941238353502379
5.353535353535354,5.189022594964924
5.454545454545454,5.898505986242733
5.555555555555555,5.7499886374575055
5.656565656565657,5.506801898877469
5.757575757575758,5.843394887683707
5.858585858585858,5.847164789074444
5.959595959595959,5.567678003314811
6.0606060606060606,6.238368743056125
6.161616161616162,6.482485895375174
6.262626262626262,6.065533969399966
6.363636363636363,6.086562275558358
6.4646464646464645,6.128566318835685
6.565656565656566,6.804498680882072
6.666666666666667,6.211753269952429
6.767676767676767,6.558980677512699
6.8686868686868685,7.365611194839611
6.96969696969697,6.636082387560878
7.070707070707071,6.727029970385302
7.171717171717171,7.649934867257359
7.2727272727272725,6.9434736638688985
7.373737373737374,7.475938068190115
7.474747474747475,7.505002744217572
7.575757575757575,8.06233074128623
7.6767676767676765,7.602565898931019
7.777777777777778,7.974091381752633
7.878787878787879,7.77086397818527
7.979797979797979,7.983690351491461
8.080808080808081,8.456367392014577
8.181818181818182,8.158823009856802
8.282828282828282,8.39813448212186
8.383838383838384,8.796434657456887
8.484848484848484,8.211908558122307
8.585858585858587,8.614697133728868
8.686868686868687,8.967629410995404
8.787878787878787,9.047624786624368
8.88888888888889,8.664344149835884
8.98989898989899,9.379162180689104
9.09090909090909,8.937742369021027
9.191919191919192,9.32581984571455
9.292929292929292,9.511034089869598
9.393939393939394,9.763811862044511
9.494949494949495,9.199954054881847
9.595959595959595,9.151011834719885
9.696969696969697,9.236840597283242
9.797979797979798,9.963171511015076
9.8989898989899,9.509098707897694
10.0,10.090972250447582
